DATE,SEASON,HOME,AWAY,HOME_PRIOR_GAME_DATE,HOME TEAM GP,AWAY_PRIOR_GAME_DATE,AWAY TEAM GP,HOME SPREAD,HOME TEAM DAYS REST,HOME TEAM HOME PRIOR,HOME TEAM SOS,HOME TEAM SOS LAST 10,HOME TEAM WIN PCT,HOME TEAM WIN PCT LAST 10,HOME TEAM 3PT PCT,HOME TEAM 2PT PCT,HOME TEAM PP100P,HOME TEAM ORB PCT,HOME TEAM DRB PCT,HOME TEAM OPP 3PT PCT,HOME TEAM OPP 2PT PCT,HOME TEAM OPP PP100P,AWAY TEAM DAYS REST,AWAY TEAM HOME PRIOR,AWAY TEAM SOS,AWAY TEAM SOS LAST 10,AWAY TEAM WIN PCT,AWAY TEAM WIN PCT LAST 10,AWAY TEAM 3PT PCT,AWAY TEAM 2PT PCT,AWAY TEAM PP100P,AWAY TEAM ORB PCT,AWAY TEAM DRB PCT,AWAY TEAM OPP 3PT PCT,AWAY TEAM OPP 2PT PCT,AWAY TEAM OPP PP100P,HOME PLUS MINUS
2023-04-09,2022,MIA,ORL,2023-04-07,81.0,2023-04-07,81.0,-5.0,1,0,14.901234567901234,17.2,0.5308641975308642,0.5,0.3425925925925926,0.5385365853658537,109.57242744879647,0.21107544141252,0.6857142857142857,0.3672903672903673,0.5694227769110765,109.99381570810142,1,0,14.728395061728396,13.7,0.419753086419753,0.5,0.3458466453674121,0.5399553571428571,108.21244455101306,0.2216815355501487,0.7177635098983414,0.3503014065639652,0.5662888122227698,110.53451581975072,13
2023-04-09,2022,CHI,DET,2023-04-07,81.0,2023-04-07,81.0,-8.5,1,0,14.77777777777778,14.3,0.4814814814814814,0.5,0.3628583654257595,0.5550811272416738,111.05326876513315,0.1911558914077805,0.740080971659919,0.357926221335992,0.5511363636363636,109.30190607900909,1,0,14.54320987654321,16.3,0.2098765432098765,0.1,0.3522467631378522,0.5165951682095281,107.154384077461,0.2345132743362832,0.6700345652751928,0.3619541080680977,0.5683615819209039,115.07209956321428,22
2023-04-09,2022,TOR,MIL,2023-04-07,81.0,2023-04-07,81.0,-3.5,1,0,15.679012345679013,15.2,0.4938271604938271,0.5,0.3351330505206324,0.5242657779629244,111.0800291899781,0.2584830339321357,0.6521855010660981,0.374337623012869,0.567279046673287,110.85461689587426,1,1,16.17283950617284,16.3,0.7160493827160493,0.7,0.3682762836185819,0.5573083559280256,112.1968531882172,0.2347916127362153,0.7605598600349912,0.3543022415039769,0.5132761864938323,108.37321987827218,16
2023-04-09,2022,BOS,ATL,2023-04-07,81.0,2023-04-07,81.0,-4.5,1,1,16.296296296296298,16.3,0.691358024691358,0.7,0.37521815008726,0.5673153825646494,114.92689970519224,0.2079024131530098,0.7413305933727202,0.3461820851688693,0.5331292368248415,108.08673775008984,1,1,15.962962962962964,15.6,0.5061728395061729,0.6,0.3532035685320356,0.5473957293953303,113.00559317044451,0.2340150142376391,0.7065789473684211,0.354120267260579,0.5625135427952329,112.70542498674678,6
2023-04-09,2022,BKN,PHI,2023-04-07,81.0,2023-04-07,81.0,-2.0,1,1,15.308641975308642,18.6,0.5555555555555556,0.6,0.3782402336619204,0.5601539942252165,112.60185015009496,0.1880487114131974,0.7089430894308943,0.3657975460122699,0.5173702726473175,109.8875861235344,1,0,15.555555555555555,11.7,0.654320987654321,0.5,0.386303443057132,0.5508967523024721,114.62679219740323,0.2020143884892086,0.730844793713163,0.3477617462079171,0.553922730504859,109.65538273863984,-29
2023-04-09,2022,DEN,SAC,2023-04-08,81.0,2023-04-07,81.0,5.5,0,0,15.617283950617283,13.5,0.6419753086419753,0.5,0.3800869221651521,0.5745584618824056,114.27527850490048,0.2341589861751152,0.727198252321136,0.3455772113943028,0.5583503285746657,110.95307561390712,1,1,16.864197530864196,17.7,0.5925925925925926,0.5,0.3702353331123633,0.5857142857142857,115.92951750236516,0.2137911935751869,0.734284930002745,0.3742625368731563,0.5636687444345503,113.23120600934524,14
2023-04-09,2022,LAL,UTA,2023-04-07,81.0,2023-04-08,81.0,-16.5,1,1,14.814814814814817,18.7,0.5185185185185185,0.8,0.3450059689614007,0.5550341296928327,110.65071491100088,0.2165058949624866,0.7403329065300897,0.3443843031123139,0.5468648998060762,110.75407529025448,0,1,15.024691358024691,11.9,0.4567901234567901,0.2,0.3537859007832898,0.5595238095238095,111.71585085704189,0.2509138381201044,0.703420112302195,0.3608617594254937,0.5402546945823441,112.75239107332624,11
2023-04-09,2022,POR,GSW,2023-04-08,81.0,2023-04-07,81.0,17.0,0,0,16.123456790123456,15.1,0.4074074074074074,0.2,0.3663400979706088,0.5513833992094862,111.59235668789808,0.2117452440033085,0.693278463648834,0.3755622188905547,0.5580235720761559,114.76522265980007,1,0,15.753086419753089,14.5,0.5308641975308642,0.7,0.38269836723002,0.5633210719915922,112.45092869279898,0.2239979041131778,0.700357325165901,0.3649305555555555,0.5370953237410072,110.86614173228348,-56
2023-04-09,2022,PHX,LAC,2023-04-07,81.0,2023-04-08,81.0,9.5,1,0,14.728395061728396,13.4,0.5555555555555556,0.7,0.3742889647326507,0.5210662080825451,111.47441719648803,0.2472924187725631,0.6805086945237477,0.3581573896353167,0.5296151186909426,109.30218483326271,0,1,15.617283950617283,16.2,0.5308641975308642,0.6,0.3820058997050147,0.5380268424770426,111.60334992110693,0.2168774051676745,0.7289644012944984,0.3650499814883376,0.54062570335359,111.28797083839612,-5
2023-04-09,2022,MIN,NOP,2023-04-08,81.0,2023-04-07,81.0,-3.0,0,0,14.62962962962963,15.0,0.5061728395061729,0.6,0.3651205936920222,0.5676537585421413,110.43616457707928,0.2053200332502078,0.7216326530612245,0.3708902844477281,0.5321428571428571,110.3031015037594,1,1,15.197530864197532,14.4,0.5185185185185185,0.8,0.3661626481405803,0.5408141287960371,110.95816625770544,0.2321477056747217,0.7186158798283262,0.3390469660610216,0.5672187043351193,109.11486405557552,5
